公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1609,大亞電線,1584250.0,1748069,1530805,-9.37,3.49,5969531,5905279,1.08
1611,中電,204744.0,194660,221983,5.18,-7.76,778574,861450,-9.62
1612,宏泰,291449.0,381913,284799,-23.68,2.33,1202856,1240118,-3.00
1614,三洋電,499403.0,394377,416565,26.63,19.88,1727861,1658031,4.21
1615,大山,187053.0,223778,273273,-16.41,-31.55,809814,1052113,-23.02
1616,億泰,200227.0,255063,216830,-21.49,-7.65,815385,1013488,-19.54
1617,榮星電線,258459.0,251229,281286,2.87,-8.11,927568,1157245,-19.84
1618,合機公司,158173.0,184265,194853,-14.16,-18.82,635448,608171,4.48
4930,燦星網通,953825.0,862290,871524,10.61,9.44,3424893,3053814,12.15
5283,禾聯碩,450212.0,446240,406399,0.89,10.78,1612406,1587933,1.54
1708,東鹼,385650.0,385178,364905,0.12,5.68,1302384,1438397,-9.45
1709,和益化工,748893.0,788025,801132,-4.96,-6.52,2755329,3251269,-15.25
1710,東聯,2212407.0,2403265,3032037,-7.94,-27.03,8812375,10918109,-19.28
1711,永光化學,847429.0,835288,832614,1.45,1.77,3150793,3150706,0.00
1712,興農,1465595.0,1747958,1633851,-16.15,-10.29,6048080,5880767,2.84
1713,國化,51639.0,45291,45308,14.01,13.97,203204,225874,-10.03
1714,和桐化學,2527976.0,2605677,3153461,-2.98,-19.83,9088585,9441067,-3.73
1717,長興材料,3554479.0,3948143,4022068,-9.97,-11.62,12992296,13937621,-6.78
1718,中纖,3154830.0,3068116,3302058,2.82,-4.45,12862478,13277011,-3.12
